,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 2 April 2019],,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jan 2015-Dec 2015,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Numerator,Denominator,% with degree or equivalent and above - aged 16-64,Conf,Numerator,Denominator,% with higher education below degree level - aged 16-64,Conf,Numerator,Denominator,% with GCE A level or equivalent - aged 16-64,Conf,Numerator,Denominator,% with GCSE grades A-C or equivalent - aged 16-64,Conf,Numerator,Denominator,% with other qualifications (GCSE) - aged 16-64,Conf,Numerator,Denominator,% with no qualifications (GCSE) - aged 16-64,Conf
Canterbury,E07000106,33800,99000,34.2,6.8,6200,99000,6.3,3.5,27700,99000,28,6.5,20200,99000,20.4,5.8,7300,99000,7.4,3.8,3800,99000,3.8,*
Dartford,E07000107,12900,66700,19.4,6.9,8700,66700,13.1,5.9,21200,66700,31.8,8.2,15300,66700,23,7.4,4700,66700,7.1,*,3800,66700,5.6,*
Dover,E07000108,13800,65700,21.1,6.3,4800,65700,7.2,4,15700,65700,23.9,6.6,18600,65700,28.3,7,8700,65700,13.3,5.3,4100,65700,6.2,3.7
Gravesham,E07000109,17100,65600,26,8.8,11100,65600,16.9,7.5,11700,65600,17.9,7.7,18100,65600,27.6,8.9,3500,65600,5.4,*,4100,65600,6.2,*
Maidstone,E07000110,26600,100000,26.6,5.4,9900,100000,9.9,3.7,26000,100000,26,5.4,23100,100000,23.1,5.2,8100,100000,8.1,3.4,6400,100000,6.4,3
Sevenoaks,E07000111,29200,70500,41.4,8.9,5700,70500,8.1,4.9,8500,70500,12,5.8,19000,70500,27,8,2600,70500,3.7,*,5400,70500,7.7,4.8
Folkestone and Hythe,E07000112,10700,62900,17,6.3,3800,62900,6,*,23100,62900,36.7,8.1,12300,62900,19.6,6.6,8300,62900,13.2,5.7,4800,62900,7.6,4.4
Swale,E07000113,14200,84900,16.7,5.2,6100,84900,7.1,3.6,26300,84900,31,6.5,22200,84900,26.2,6.1,7500,84900,8.8,4,8600,84900,10.2,4.2
Thanet,E07000114,10700,75600,14.2,4.8,7300,75600,9.6,4.1,16400,75600,21.7,5.7,22700,75600,30,6.3,12200,75600,16.1,5.1,6400,75600,8.4,3.8
Tonbridge and Malling,E07000115,21000,74300,28.2,6.9,6100,74300,8.2,4.2,20400,74300,27.5,6.9,19200,74300,25.8,6.7,5900,74300,7.9,4.2,1700,74300,2.3,*
Tunbridge Wells,E07000116,23900,68300,35,8.1,6900,68300,10.2,5.1,13200,68300,19.3,6.7,14400,68300,21.1,6.9,3200,68300,4.6,*,6700,68300,9.8,5
Cherwell,E07000177,25700,87600,29.4,6.1,5800,87600,6.7,3.3,20900,87600,23.8,5.7,19500,87600,22.3,5.5,9900,87600,11.3,4.2,5700,87600,6.5,3.3
Oxford,E07000178,67300,112200,59.9,6.8,4700,112200,4.2,2.8,15900,112200,14.2,4.8,12700,112200,11.3,4.4,6300,112200,5.6,3.2,5200,112200,4.7,*
South Oxfordshire,E07000179,39100,82000,47.7,6.9,7900,82000,9.7,4.1,13600,82000,16.5,5.1,14700,82000,17.9,5.3,3900,82000,4.8,2.9,2700,82000,3.3,*
Vale of White Horse,E07000180,31400,75400,41.6,7.2,4700,75400,6.3,3.5,15500,75400,20.5,5.9,14000,75400,18.6,5.6,6200,75400,8.3,4,3600,75400,4.7,3.1
West Oxfordshire,E07000181,23200,64600,35.8,7.3,9600,64600,14.8,5.4,11500,64600,17.7,5.8,9900,64600,15.4,5.5,4200,64600,6.5,3.8,6300,64600,9.7,4.5
Elmbridge,E07000207,39300,75900,51.8,6.7,6500,75900,8.6,3.7,12600,75900,16.6,5,9300,75900,12.3,4.4,3900,75900,5.1,2.9,4300,75900,5.6,3.1
Epsom and Ewell,E07000208,15500,47700,32.5,9.6,8500,47700,17.8,7.9,10300,47700,21.6,8.5,8500,47700,17.7,7.8,3000,47700,6.4,*,1900,47700,4,*
Guildford,E07000209,36700,96500,38,7.1,5700,96500,5.9,3.4,20900,96500,21.7,6,17100,96500,17.7,5.6,8400,96500,8.7,4.1,7800,96500,8.1,4
Mole Valley,E07000210,18100,49100,36.9,8.2,6100,49100,12.5,5.6,8800,49100,17.9,6.5,11500,49100,23.4,7.2,2500,49100,5.1,*,2000,49100,4.1,*
Reigate and Banstead,E07000211,32100,87900,36.5,6.6,10000,87900,11.4,4.4,18700,87900,21.2,5.6,17300,87900,19.7,5.5,6400,87900,7.3,3.6,3500,87900,3.9,*
Runnymede,E07000212,17400,56600,30.8,8,4000,56600,7,4.4,17100,56600,30.2,7.9,10200,56600,18,6.6,3700,56600,6.6,*,4200,56600,7.5,4.5
Spelthorne,E07000213,18200,58400,31.2,7.2,2400,58400,4.1,*,16100,58400,27.6,7,13100,58400,22.4,6.5,4300,58400,7.4,4.1,4300,58400,7.3,4.1
Surrey Heath,E07000214,16900,54000,31.4,7.5,6600,54000,12.3,5.3,14400,54000,26.7,7.1,12900,54000,23.9,6.9,!,54000,!,!,3100,54000,5.8,*
Tandridge,E07000215,17900,49800,35.9,9.9,3300,49800,6.6,*,12000,49800,24.1,8.8,7800,49800,15.7,7.5,3800,49800,7.7,*,5000,49800,10,*
Waverley,E07000216,27000,69500,38.8,7.3,7300,69500,10.5,4.6,14500,69500,20.8,6.1,12900,69500,18.6,5.8,4900,69500,7,3.8,3000,69500,4.3,*
Woking,E07000217,22700,60500,37.6,7.8,5400,60500,8.9,4.6,12900,60500,21.3,6.6,14000,60500,23.1,6.8,3200,60500,5.3,*,2300,60500,3.8,*
Adur,E07000223,4700,38200,12.3,7,4000,38200,10.5,6.6,11100,38200,29,9.7,13100,38200,34.4,10.2,3300,38200,8.7,*,1900,38200,5.1,*
Arun,E07000224,15600,86000,18.2,5.9,15300,86000,17.7,5.8,18600,86000,21.7,6.3,19900,86000,23.1,6.5,9000,86000,10.4,4.7,7700,86000,8.9,4.4
Chichester,E07000225,21900,65700,33.3,8,8500,65700,13,5.7,12600,65700,19.1,6.7,14300,65700,21.8,7,3600,65700,5.4,*,4800,65700,7.3,4.4
Crawley,E07000226,14400,70300,20.5,6.9,5600,70300,8,4.7,9600,70300,13.7,5.9,26600,70300,37.8,8.3,10500,70300,14.9,6.1,3500,70300,5,*
Horsham,E07000227,27700,77500,35.8,6.4,8000,77500,10.3,4,17000,77500,21.9,5.5,15500,77500,20,5.3,6200,77500,7.9,3.6,3100,77500,4,2.6
Mid Sussex,E07000228,31200,87100,35.8,6.1,9100,87100,10.5,3.9,23500,87100,27,5.7,16500,87100,18.9,5,3300,87100,3.8,*,3500,87100,4,*
Worthing,E07000229,16400,64100,25.6,7,6000,64100,9.4,4.7,18500,64100,28.9,7.3,13800,64100,21.6,6.6,6600,64100,10.3,4.9,2700,64100,4.2,*
Bath and North East Somerset,E06000022,47100,115600,40.7,2.8,8600,115600,7.5,1.5,29100,115600,25.2,2.5,20200,115600,17.5,2.2,7700,115600,6.7,1.4,2900,115600,2.5,0.9
Bournemouth,E06000028,34700,124700,27.8,3,11200,124700,9,1.9,35900,124700,28.8,3,25800,124700,20.7,2.7,9500,124700,7.6,1.8,7700,124700,6.2,1.6
"Bristol, City of",E06000023,125200,304800,41.1,3.2,21300,304800,7,1.7,57300,304800,18.8,2.6,56000,304800,18.4,2.6,26900,304800,8.8,1.9,18000,304800,5.9,1.6
Cornwall,E06000052,65200,317900,20.5,2.6,27900,317900,8.8,1.8,94100,317900,29.6,2.9,80900,317900,25.5,2.8,30800,317900,9.7,1.9,19000,317900,6,1.5
Isles of Scilly,E06000053,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
North Somerset,E06000024,34700,120200,28.8,3.3,9700,120200,8,2,34300,120200,28.5,3.3,30800,120200,25.6,3.2,6400,120200,5.3,1.6,4400,120200,3.6,1.4
Plymouth,E06000026,36200,166200,21.8,2.3,13800,166200,8.3,1.5,50400,166200,30.3,2.5,36500,166200,22,2.3,19100,166200,11.5,1.8,10200,166200,6.1,1.3
Poole,E06000029,24300,88400,27.5,3,8800,88400,10,2,24800,88400,28.1,3,17900,88400,20.3,2.7,7200,88400,8.2,1.8,5300,88400,6,1.6
South Gloucestershire,E06000025,46600,166200,28,3.1,17100,166200,10.3,2.1,41700,166200,25.1,3,38000,166200,22.9,2.9,12600,166200,7.6,1.8,10200,166200,6.1,1.6
Swindon,E06000030,29200,137600,21.2,2.5,11100,137600,8,1.7,31700,137600,23.1,2.6,40100,137600,29.1,2.8,16400,137600,11.9,2,9100,137600,6.6,1.5
Torbay,E06000027,11700,73700,15.9,2.3,7600,73700,10.4,2,21300,73700,28.9,2.9,19100,73700,25.9,2.8,7200,73700,9.7,1.9,6700,73700,9.1,1.8
Wiltshire,E06000054,81500,283400,28.8,2.7,24900,283400,8.8,1.7,74000,283400,26.1,2.6,63900,283400,22.5,2.5,23100,283400,8.2,1.6,16100,283400,5.7,1.4
East Devon,E07000040,23500,73500,32,8.4,12200,73500,16.6,6.7,13500,73500,18.4,7,13900,73500,18.9,7.1,5800,73500,7.9,4.9,4600,73500,6.2,*
Exeter,E07000041,26300,85400,30.8,7.1,9600,85400,11.2,4.8,23500,85400,27.5,6.9,22000,85400,25.8,6.7,2700,85400,3.1,*,1400,85400,1.6,*
Mid Devon,E07000042,11600,47500,24.4,8.4,6900,47500,14.5,6.9,17600,47500,37.1,9.4,8200,47500,17.2,7.4,1400,47500,2.9,*,1900,47500,4,*
North Devon,E07000043,10700,55500,19.3,7.1,3400,55500,6.1,*,17700,55500,32,8.3,16200,55500,29.3,8.1,4900,55500,8.8,5.1,2500,55500,4.5,*
South Hams,E07000044,17600,48200,36.6,8.5,7000,48200,14.6,6.2,8100,48200,16.8,6.6,9500,48200,19.8,7,3700,48200,7.6,*,2200,48200,4.5,*
Teignbridge,E07000045,18200,73300,24.8,6.3,8300,73300,11.4,4.6,22800,73300,31.1,6.7,14100,73300,19.3,5.7,5900,73300,8.1,4,3900,73300,5.4,3.3
Torridge,E07000046,9100,38100,23.8,9.4,3200,38100,8.3,*,8600,38100,22.5,9.3,11900,38100,31.2,10.3,1700,38100,4.5,*,3700,38100,9.8,*
West Devon,E07000047,10200,29500,34.5,9.8,5200,29500,17.8,7.9,6600,29500,22.5,8.6,3700,29500,12.6,6.8,3200,29500,10.8,6.4,!,29500,!,!
Christchurch,E07000048,4700,24600,19.3,8.1,2100,24600,8.5,*,8700,24600,35.2,9.8,6600,24600,26.8,9.1,1200,24600,5,*,1300,24600,5.3,*
East Dorset,E07000049,12600,47700,26.5,6.3,3400,47700,7.2,3.7,13900,47700,29.1,6.5,11700,47700,24.4,6.2,3700,47700,7.8,3.8,2400,47700,5.1,3.2
North Dorset,E07000050,8800,38900,22.6,6.8,3700,38900,9.6,4.8,8400,38900,21.5,6.7,8900,38900,22.9,6.9,6600,38900,17,6.1,2500,38900,6.5,4
Purbeck,E07000051,8700,28500,30.4,10.5,3900,28500,13.8,7.9,7200,28500,25.2,10,5400,28500,19.1,9,2200,28500,7.7,*,1100,28500,3.9,*
West Dorset,E07000052,15000,52900,28.4,6.6,5700,52900,10.7,4.5,11200,52900,21.1,5.9,16200,52900,30.6,6.7,2600,52900,5,*,2200,52900,4.1,*
Weymouth and Portland,E07000053,4300,36600,11.6,6.1,5300,36600,14.4,6.7,9600,36600,26.3,8.3,12400,36600,33.7,9,3300,36600,8.9,*,1900,36600,5.1,*
Cheltenham,E07000078,32200,72900,44.1,7,8100,72900,11.1,4.4,15000,72900,20.5,5.7,9800,72900,13.4,4.8,3900,72900,5.3,3.1,4000,72900,5.5,3.2
Cotswold,E07000079,14500,50100,28.9,7.9,5500,50100,10.9,5.5,11600,50100,23.1,7.4,11800,50100,23.5,7.4,2900,50100,5.8,*,3900,50100,7.7,4.7
Forest of Dean,E07000080,11300,48700,23.3,6.9,4500,48700,9.3,4.7,14300,48700,29.3,7.4,12500,48700,25.6,7.1,2200,48700,4.6,*,3900,48700,7.9,4.4
Gloucester,E07000081,20500,77000,26.7,6,8500,77000,11,4.2,17900,77000,23.3,5.7,17900,77000,23.3,5.7,5800,77000,7.5,3.6,6400,77000,8.3,3.7
Stroud,E07000082,21600,70300,30.7,6.6,9000,70300,12.7,4.8,15500,70300,22.1,5.9,15500,70300,22,5.9,4600,70300,6.5,3.5,4200,70300,6,3.4
Tewkesbury,E07000083,11500,51900,22.2,6.8,7600,51900,14.7,5.8,12300,51900,23.6,6.9,13500,51900,26,7.1,5400,51900,10.4,5,1600,51900,3.2,*
Mendip,E07000187,18600,65800,28.3,6.8,5400,65800,8.2,4.1,16200,65800,24.6,6.5,18400,65800,28,6.8,4600,65800,7,3.8,2600,65800,4,*
Sedgemoor,E07000188,12600,68700,18.3,5.6,6600,68700,9.5,4.2,18300,68700,26.6,6.4,20100,68700,29.2,6.6,6100,68700,8.9,4.1,5100,68700,7.4,3.8
South Somerset,E07000189,23300,94900,24.6,5.2,10800,94900,11.3,3.9,31300,94900,32.9,5.7,18800,94900,19.8,4.9,6100,94900,6.5,3,4600,94900,4.9,2.6
Taunton Deane,E07000190,20900,67200,31.2,7.1,8900,67200,13.3,5.2,14400,67200,21.5,6.3,16300,67200,24.3,6.5,4700,67200,6.9,3.9,1900,67200,2.8,*
West Somerset,E07000191,3800,16200,23.3,12.5,1200,16200,7.1,*,5200,16200,31.8,13.8,3700,16200,22.9,12.4,!,16200,!,!,1300,16200,8.2,*
Isle of Anglesey,W06000001,9600,39600,24.3,2.7,4600,39600,11.5,2,9800,39600,24.8,2.8,9000,39600,22.8,2.7,3300,39600,8.3,1.8,3300,39600,8.2,1.8
Gwynedd,W06000002,16700,72600,23,3,8500,72600,11.7,2.3,16800,72600,23.2,3,19900,72600,27.4,3.2,4900,72600,6.8,1.8,5700,72600,7.8,1.9
Conwy,W06000003,16300,63600,25.7,2.7,6800,63600,10.6,1.9,15500,63600,24.3,2.6,15600,63600,24.5,2.6,4800,63600,7.6,1.6,4700,63600,7.3,1.6
Denbighshire,W06000004,13500,53700,25.2,2.7,6100,53700,11.3,2,12800,53700,23.8,2.7,12900,53700,24,2.7,3800,53700,7,1.6,4700,53700,8.7,1.8
Flintshire,W06000005,20000,92900,21.5,2.6,9300,92900,10,1.9,21100,92900,22.7,2.6,26800,92900,28.8,2.8,8300,92900,8.9,1.8,7400,92900,8,1.7
Wrexham,W06000006,19200,83500,23,2.7,9200,83500,11,2,19300,83500,23.1,2.7,18700,83500,22.4,2.6,9600,83500,11.5,2,7400,83500,8.9,1.8
Powys,W06000023,18600,75100,24.8,3.1,9100,75100,12.1,2.3,20400,75100,27.2,3.2,17300,75100,23,3,3800,75100,5,1.5,5900,75100,7.8,1.9
Ceredigion,W06000008,11400,44800,25.5,2.9,3200,44800,7.1,1.7,13700,44800,30.7,3.1,11000,44800,24.5,2.9,2300,44800,5,1.5,3200,44800,7.2,1.7
Pembrokeshire,W06000009,15500,72100,21.5,2.6,7900,72100,10.9,2,16100,72100,22.3,2.6,18900,72100,26.2,2.8,5700,72100,7.9,1.7,8100,72100,11.2,2
Carmarthenshire,W06000010,20900,106400,19.7,2.6,13100,106400,12.3,2.1,24400,106400,22.9,2.7,27100,106400,25.5,2.8,7400,106400,7,1.6,13500,106400,12.6,2.2
Swansea,W06000011,37300,150400,24.8,2.8,14100,150400,9.4,1.9,34300,150400,22.8,2.7,34500,150400,23,2.7,10500,150400,7,1.6,19600,150400,13,2.2
Neath Port Talbot,W06000012,13300,86100,15.5,2.4,10800,86100,12.5,2.2,19000,86100,22.1,2.7,22200,86100,25.8,2.8,7300,86100,8.5,1.8,13500,86100,15.7,2.4
Bridgend,W06000013,18100,85800,21.1,2.7,8800,85800,10.3,2,15700,85800,18.3,2.5,23300,85800,27.1,2.9,7800,85800,9.1,1.9,12100,85800,14.1,2.3
Vale of Glamorgan,W06000014,23000,75500,30.5,3.1,8000,75500,10.6,2.1,17600,75500,23.3,2.9,16500,75500,21.9,2.8,4700,75500,6.2,1.6,5700,75500,7.5,1.8
Cardiff,W06000015,83600,239000,35,2.9,20100,239000,8.4,1.7,57500,239000,24,2.6,37500,239000,15.7,2.2,19300,239000,8.1,1.6,21100,239000,8.8,1.7
Rhondda Cynon Taff,W06000016,31800,145300,21.9,2.5,12200,145300,8.4,1.7,34800,145300,24,2.6,33300,145300,22.9,2.6,16900,145300,11.6,2,16300,145300,11.2,1.9
Merthyr Tydfil,W06000024,6200,36000,17.2,2.9,3200,36000,8.9,2.2,8600,36000,23.8,3.3,7700,36000,21.4,3.2,5100,36000,14.2,2.7,5200,36000,14.5,2.7
Caerphilly,W06000018,21100,109900,19.2,2.4,10200,109900,9.3,1.8,26900,109900,24.4,2.7,26000,109900,23.7,2.6,11400,109900,10.4,1.9,14300,109900,13,2.1
Blaenau Gwent,W06000019,4600,40500,11.4,2.2,3700,40500,9.1,2,9000,40500,22.1,2.9,10400,40500,25.8,3.1,4500,40500,11.1,2.2,8300,40500,20.5,2.8
Torfaen,W06000020,9800,56000,17.5,2.5,5700,56000,10.2,2,14900,56000,26.6,2.9,13700,56000,24.5,2.9,6000,56000,10.6,2,6000,56000,10.7,2.1
Monmouthshire,W06000021,17500,54300,32.2,3,5200,54300,9.6,1.9,12000,54300,22.1,2.6,12900,54300,23.7,2.7,3300,54300,6.1,1.5,3400,54300,6.2,1.5
Newport,W06000022,23900,90700,26.4,3.2,7000,90700,7.7,2,22000,90700,24.3,3.1,19300,90700,21.3,3,8300,90700,9.2,2.1,10100,90700,11.1,2.3
Aberdeen City,S12000033,51000,156200,32.7,3.3,22700,156200,14.5,2.5,41800,156200,26.7,3.1,20200,156200,12.9,2.3,11700,156200,7.5,1.8,8800,156200,5.7,1.6
Aberdeenshire,S12000034,46800,162100,28.8,3.5,28000,162100,17.3,2.9,42300,162100,26.1,3.4,29700,162100,18.3,3,8300,162100,5.1,1.7,7100,162100,4.4,1.6
Angus,S12000041,16600,69600,23.9,3.2,13200,69600,18.9,2.9,16900,69600,24.3,3.2,12300,69600,17.7,2.9,3600,69600,5.2,1.7,7000,69600,10,2.2
Argyll and Bute,S12000035,11600,48700,23.9,3.1,7800,48700,16,2.6,12400,48700,25.6,3.1,8300,48700,17.1,2.7,3600,48700,7.3,1.9,5000,48700,10.2,2.2
Clackmannanshire,S12000005,6000,31800,19,3.8,4900,31800,15.5,3.5,9100,31800,28.7,4.4,6700,31800,21.2,4,2300,31800,7.1,2.5,2700,31800,8.6,2.7
Dumfries and Galloway,S12000006,17000,86900,19.5,2.4,11400,86900,13.1,2,22100,86900,25.4,2.6,21500,86900,24.8,2.6,5400,86900,6.3,1.5,9500,86900,10.9,1.9
Dundee City,S12000042,24600,93800,26.2,3,11500,93800,12.2,2.2,24900,93800,26.6,3,15000,93800,15.9,2.5,7800,93800,8.3,1.9,10000,93800,10.7,2.1
East Ayrshire,S12000008,15500,75000,20.6,2.9,11500,75000,15.3,2.6,17000,75000,22.6,3,13700,75000,18.2,2.7,5600,75000,7.5,1.9,11900,75000,15.8,2.6
East Dunbartonshire,S12000045,26000,64300,40.5,3.5,9300,64300,14.5,2.5,15600,64300,24.2,3,8100,64300,12.6,2.4,1800,64300,2.7,1.2,3500,64300,5.5,1.6
East Lothian,S12000010,17300,62200,27.7,3.3,8600,62200,13.9,2.5,16200,62200,26,3.2,13600,62200,21.8,3,2900,62200,4.6,1.5,3700,62200,5.9,1.7
East Renfrewshire,S12000011,22700,55500,40.9,3.6,7600,55500,13.7,2.5,13600,55500,24.5,3.2,6300,55500,11.3,2.3,2300,55500,4.2,1.5,3000,55500,5.5,1.7
City of Edinburgh,S12000036,163200,332400,49.1,3.7,31900,332400,9.6,2.2,65500,332400,19.7,2.9,37400,332400,11.2,2.3,16900,332400,5.1,1.6,17500,332400,5.3,1.6
Na h-Eileanan Siar,S12000013,4100,15800,25.8,5.4,2500,15800,16.1,4.6,4500,15800,28.5,5.6,2400,15800,15.1,4.4,1400,15800,8.8,3.5,900,15800,5.8,2.9
Falkirk,S12000014,20500,99400,20.7,2.6,16000,99400,16.1,2.3,25000,99400,25.1,2.7,19800,99400,19.9,2.5,7800,99400,7.9,1.7,10200,99400,10.3,1.9
Fife,S12000015,49500,221400,22.4,3,46500,221400,21,2.9,55300,221400,25,3.1,38200,221400,17.2,2.7,15200,221400,6.9,1.8,16700,221400,7.6,1.9
Glasgow City,S12000046,136100,402000,33.9,3.4,56400,402000,14,2.5,73600,402000,18.3,2.8,56900,402000,14.2,2.5,25200,402000,6.3,1.7,53700,402000,13.4,2.4
Highland,S12000017,31700,140800,22.5,3.2,22900,140800,16.3,2.8,40200,140800,28.6,3.4,26500,140800,18.8,2.9,8300,140800,5.9,1.8,11100,140800,7.9,2
Inverclyde,S12000018,10500,48500,21.7,3.1,6900,48500,14.2,2.6,12600,48500,26,3.3,8500,48500,17.5,2.8,3300,48500,6.8,1.9,6700,48500,13.8,2.6
Midlothian,S12000019,13700,53600,25.5,3.5,7800,53600,14.5,2.9,13200,53600,24.7,3.5,11000,53600,20.5,3.3,3600,53600,6.8,2,4200,53600,7.9,2.2
Moray,S12000020,7800,57700,13.4,2.4,11000,57700,19.1,2.7,14000,57700,24.3,3,14500,57700,25.2,3,3700,57700,6.3,1.7,6800,57700,11.7,2.2
North Ayrshire,S12000021,12000,82100,14.6,2.5,16500,82100,20.1,2.8,19200,82100,23.4,3,18600,82100,22.6,2.9,5700,82100,7,1.8,10100,82100,12.3,2.3
North Lanarkshire,S12000044,37100,215100,17.2,2.4,34700,215100,16.1,2.4,55300,215100,25.7,2.8,44000,215100,20.4,2.6,15100,215100,7,1.7,29000,215100,13.5,2.2
Orkney Islands,S12000023,1500,13000,11.3,5.5,2600,13000,19.9,7,4300,13000,33.1,8.2,2800,13000,21.7,7.2,1100,13000,8.6,4.9,700,13000,5.5,*
Perth and Kinross,S12000024,27000,89100,30.3,3.3,14900,89100,16.7,2.7,20300,89100,22.8,3,14900,89100,16.7,2.7,6400,89100,7.2,1.9,5600,89100,6.2,1.7
Renfrewshire,S12000038,28100,110900,25.4,2.9,19400,110900,17.5,2.5,27500,110900,24.8,2.9,18800,110900,16.9,2.5,5700,110900,5.2,1.5,11300,110900,10.2,2
Scottish Borders,S12000026,17400,66000,26.3,3.1,10300,66000,15.6,2.5,17500,66000,26.5,3.1,12100,66000,18.3,2.7,4100,66000,6.3,1.7,4600,66000,7,1.8
Shetland Islands,S12000027,3200,14100,22.7,6.9,3400,14100,24.2,7.1,3200,14100,22.5,6.9,2600,14100,18.5,6.4,1400,14100,9.8,4.9,~,14100,2.2,*
South Ayrshire,S12000028,16500,65900,25,3,10500,65900,16,2.5,16600,65900,25.2,3,12100,65900,18.4,2.7,3700,65900,5.6,1.6,6500,65900,9.8,2.1
South Lanarkshire,S12000029,44700,198200,22.5,2.6,30900,198200,15.6,2.3,54000,198200,27.2,2.8,35600,198200,18,2.4,14600,198200,7.3,1.7,18500,198200,9.3,1.8
Stirling,S12000030,19900,56800,35,3.4,7300,56800,12.9,2.4,13200,56800,23.2,3,8100,56800,14.4,2.5,3300,56800,5.8,1.7,4900,56800,8.7,2
West Dunbartonshire,S12000039,8500,55500,15.4,2.6,9800,55500,17.7,2.7,12900,55500,23.3,3,11800,55500,21.3,2.9,4100,55500,7.3,1.9,8300,55500,15,2.6
West Lothian,S12000040,26800,114500,23.4,2.8,16300,114500,14.2,2.3,29100,114500,25.4,2.8,26400,114500,23,2.7,7600,114500,6.7,1.6,8300,114500,7.3,1.7
Column Total,Column Total,11140100,39038800,28.5,0.2,3523700,39038800,9,0.1,8941400,39038800,22.9,0.2,8426300,39038800,21.6,0.2,3613200,39038800,9.3,0.1,3394100,39038800,8.7,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,These figures are suppressed as statistically unreliable,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
!,Estimate and confidence interval not available since the group sample size,,,,,,,,,,,,,,,,,,,,,,,,
,is zero or disclosive (0-2),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
*,Estimate and confidence interval unreliable since the group sample size is,,,,,,,,,,,,,,,,,,,,,,,,
,small (3-9),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
~,Estimate is less than 500,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
-,These figures are missing.,,,,,,,,,,,,,,,,,,,,,,,,
