,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 2 April 2019],,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jan 2015-Dec 2015,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Numerator,Denominator,% with degree or equivalent and above - aged 16-64,Conf,Numerator,Denominator,% with higher education below degree level - aged 16-64,Conf,Numerator,Denominator,% with GCE A level or equivalent - aged 16-64,Conf,Numerator,Denominator,% with GCSE grades A-C or equivalent - aged 16-64,Conf,Numerator,Denominator,% with other qualifications (GCSE) - aged 16-64,Conf,Numerator,Denominator,% with no qualifications (GCSE) - aged 16-64,Conf
Wyre,E07000128,14100,62700,22.4,6.9,4200,62700,6.6,4.1,17100,62700,27.4,7.4,15700,62700,25.1,7.2,7600,62700,12.2,5.4,4000,62700,6.3,*
Knowsley,E08000011,13600,89800,15.2,2.3,7100,89800,7.9,1.7,22300,89800,24.8,2.7,24300,89800,27.1,2.8,7800,89800,8.6,1.8,14700,89800,16.4,2.3
Liverpool,E08000012,76100,318800,23.9,2.6,23500,318800,7.4,1.6,66400,318800,20.8,2.5,75800,318800,23.8,2.6,32700,318800,10.3,1.8,44300,318800,13.9,2.1
Sefton,E08000014,41300,160700,25.7,2.9,9500,160700,5.9,1.6,40400,160700,25.1,2.9,42200,160700,26.3,2.9,12700,160700,7.9,1.8,14700,160700,9.2,1.9
St. Helens,E08000013,19100,108200,17.6,2.4,10000,108200,9.3,1.9,26100,108200,24.2,2.7,31800,108200,29.4,2.9,8500,108200,7.8,1.7,12700,108200,11.7,2.1
Wirral,E08000015,47300,192500,24.6,2.9,14900,192500,7.8,1.8,48000,192500,24.9,3,50400,192500,26.2,3,14600,192500,7.6,1.8,17300,192500,9,2
East Riding of Yorkshire,E06000011,46000,193900,23.7,2.9,22900,193900,11.8,2.2,50500,193900,26,3,46000,193900,23.7,2.9,13400,193900,6.9,1.7,15100,193900,7.8,1.8
"Kingston upon Hull, City of",E06000010,27200,164500,16.5,2.4,10200,164500,6.2,1.5,45300,164500,27.5,2.8,40700,164500,24.7,2.8,20200,164500,12.3,2.1,21000,164500,12.8,2.1
North East Lincolnshire,E06000012,14000,95500,14.7,2.1,9200,95500,9.6,1.8,25700,95500,26.9,2.7,25200,95500,26.4,2.6,10500,95500,11,1.9,10900,95500,11.5,1.9
North Lincolnshire,E06000013,18800,98900,19,2.7,9100,98900,9.2,2,27000,98900,27.3,3.1,23800,98900,24.1,3,11800,98900,12,2.3,8300,98900,8.4,1.9
York,E06000014,46300,135000,34.3,2.7,9200,135000,6.8,1.4,38400,135000,28.4,2.6,26400,135000,19.5,2.3,8500,135000,6.3,1.4,6300,135000,4.7,1.2
Craven,E07000163,10500,31900,32.9,9,3400,31900,10.7,5.9,9400,31900,29.5,8.8,6500,31900,20.4,7.7,1800,31900,5.5,*,!,31900,!,!
Hambleton,E07000164,12500,52000,24.1,7.6,5600,52000,10.8,5.5,14400,52000,27.6,7.9,12900,52000,24.9,7.6,3600,52000,6.9,*,2900,52000,5.6,*
Harrogate,E07000165,29000,90000,32.2,5.7,7100,90000,7.9,3.3,17000,90000,18.9,4.8,22500,90000,25,5.3,9200,90000,10.2,3.7,5200,90000,5.8,2.9
Richmondshire,E07000166,5200,27400,18.8,10,!,27400,!,!,8500,27400,31,11.8,7700,27400,27.9,11.5,3400,27400,12.5,*,2100,27400,7.8,*
Ryedale,E07000167,7100,29400,24,8.9,1600,29400,5.4,*,5500,29400,18.7,8.1,10600,29400,36.1,10,900,29400,3.1,*,3700,29400,12.6,6.9
