
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 31 May 2019]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Variable   :","Percentage of population who are white not UK born"

"local authority: district / unitary (prior to April 2015)","mnemonic","Numerator","Denominator","Jan 2005-Dec 2005","Conf","Numerator","Denominator","Jan 2006-Dec 2006","Conf","Numerator","Denominator","Jan 2007-Dec 2007","Conf","Numerator","Denominator","Jan 2008-Dec 2008","Conf","Numerator","Denominator","Jan 2009-Dec 2009","Conf","Numerator","Denominator","Jan 2010-Dec 2010","Conf","Numerator","Denominator","Jan 2011-Dec 2011","Conf","Numerator","Denominator","Jan 2012-Dec 2012","Conf","Numerator","Denominator","Jan 2013-Dec 2013","Conf","Numerator","Denominator","Jan 2014-Dec 2014","Conf","Numerator","Denominator","Jan 2015-Dec 2015","Conf"
"Kettering","E07000153",3100,85700,3.6,1.9,2700,87100,3.1,"*",3000,89000,3.4,"*",2300,90300,2.6,"*",3400,91200,3.7,3.5,3000,92000,3.3,"*",7300,92900,7.8,5.5,4100,93900,4.4,4.3,3200,94800,3.4,"*",3800,96000,3.9,"*",6100,96600,6.3,4.9
"Northampton","E07000154",8700,193900,4.5,2.2,13800,198000,7.0,3.1,13300,200600,6.7,3.0,10200,203200,5.0,2.6,11500,205000,5.6,2.8,13900,207000,6.7,3.2,20200,209700,9.7,3.9,17800,211900,8.4,3.7,15600,213200,7.3,3.3,20400,216000,9.5,3.8,21700,219000,9.9,3.9
"South Northamptonshire","E07000155",3200,84100,3.8,1.9,1600,84900,1.9,"*",1400,85300,1.6,"*",2100,85100,2.5,"*",3100,85100,3.6,3.5,4100,84400,4.8,4.0,1400,84400,1.6,"*",2400,85600,2.8,"*",3700,86500,4.2,3.8,7300,87400,8.3,5.3,5800,88800,6.6,4.7
"Wellingborough","E07000156",2700,73200,3.6,2.0,2900,73600,4.0,"*",6700,73900,9.1,5.3,7100,74300,9.6,5.9,4200,74300,5.6,4.7,4400,74400,5.9,4.7,5100,74900,6.8,5.3,8300,75300,11.0,7.3,4400,75100,5.8,5.2,3900,74800,5.2,4.5,4500,76400,5.9,4.7
"Ashfield","E07000170",1100,113800,1.0,1.0,900,115400,0.8,"*",2200,115100,1.9,"*",2000,115800,1.7,"*",2400,116700,2.1,"*",2000,116700,1.7,"*",2100,118300,1.7,"*",1900,118900,1.6,"*","!",119800,"!","!",2200,121300,1.8,"*",2000,122300,1.6,"*"
"Bassetlaw","E07000171",2000,108000,1.8,1.3,5500,108300,5.1,3.5,2700,108700,2.4,"*",1300,109400,1.2,"*",2300,109800,2.1,"*",6900,110200,6.3,4.2,4000,110200,3.6,3.3,1500,110400,1.4,"*",4900,110900,4.4,3.4,4700,111400,4.2,3.7,6300,111800,5.6,4.8
"Broxtowe","E07000172",2700,107200,2.5,1.8,4600,107300,4.3,3.3,4900,107300,4.6,3.4,3000,107800,2.8,2.7,2600,108300,2.4,"*",8000,108300,7.4,4.6,6700,108800,6.2,4.4,4200,109200,3.8,"*",1600,110100,1.5,"*",3600,110600,3.2,"*",4900,110900,4.4,3.9
"Gedling","E07000173",3100,110700,2.8,1.8,3100,110800,2.8,2.6,3400,108700,3.1,"*",2200,111400,1.9,"*",1500,111900,1.3,"*",3600,111800,3.2,3.0,4400,112300,3.9,3.7,5800,113300,5.1,4.0,3300,114200,2.9,"*",5100,115000,4.5,3.8,5600,115300,4.8,4.2
"Mansfield","E07000174",1600,99400,1.6,1.3,2300,99300,2.3,"*",5200,101100,5.1,3.6,2600,102300,2.5,"*",3500,102700,3.4,3.1,4500,103100,4.4,3.7,2200,103600,2.1,"*",5300,103800,5.1,3.9,6000,104300,5.8,4.7,7800,104500,7.5,5.4,5900,105800,5.6,4.7
"Newark and Sherwood","E07000175",3000,108800,2.7,1.7,3200,109800,2.9,2.5,3000,110700,2.7,2.4,4900,111500,4.4,3.3,3300,112000,3.0,2.7,4900,112400,4.4,3.4,7200,113000,6.4,4.3,7000,113800,6.1,4.5,5800,114800,5.1,4.0,5700,115800,5.0,4.2,4700,116600,4.0,3.8
"Rushcliffe","E07000176",5200,106200,4.9,2.2,3800,106800,3.6,3.0,4500,107300,4.2,3.1,3700,107700,3.5,3.2,4100,108400,3.7,3.3,2800,109400,2.5,"*",3400,109500,3.1,"*",2800,109700,2.5,"*",2700,111100,2.4,"*",4800,111800,4.3,3.7,5600,112600,5.0,4.2
"Herefordshire, County of","E06000019",4500,173800,2.6,1.1,5000,175700,2.8,1.2,5500,179400,3.1,1.3,6400,179100,3.6,1.4,7000,179700,3.9,1.5,8100,179700,4.5,1.6,7900,178700,4.4,1.6,8700,181700,4.8,1.6,9200,183100,5.0,1.5,12300,185000,6.6,1.7,13700,185500,7.4,1.8
"Shropshire","E06000051",6100,284500,2.1,0.7,8100,287100,2.8,1.3,9100,289800,3.1,1.3,11300,292700,3.9,1.3,13100,294300,4.5,1.5,9600,296500,3.2,1.3,10500,298000,3.5,1.4,10400,300100,3.5,1.5,8800,301500,2.9,1.3,10800,303200,3.6,1.4,14500,304800,4.8,1.7
"Stoke-on-Trent","E06000021",2100,239300,0.9,0.7,3300,240600,1.4,0.8,4900,241500,2.0,1.0,4900,243200,2.0,1.0,7500,243700,3.1,1.2,8100,245100,3.3,1.3,7400,244400,3.0,1.3,6100,247600,2.4,1.2,7100,248000,2.9,1.4,9200,248000,3.7,1.7,8200,248900,3.3,1.5
"Telford and Wrekin","E06000020",3700,160100,2.3,1.2,4700,161400,2.9,1.3,5300,162200,3.3,1.5,6500,162700,4.0,1.5,5700,163300,3.5,1.4,5600,164300,3.4,1.4,5500,164600,3.3,1.3,6600,165800,4.0,1.5,4800,166800,2.9,1.3,7900,167900,4.7,1.6,7000,169600,4.2,1.6
"Cannock Chase","E07000192",1000,94000,1.1,1.1,"!",94300,"!","!",2500,94700,2.6,"*","#",95300,1.3,"*",1900,95900,2.0,"*",2100,95900,2.2,"*",1700,96900,1.8,"*",1000,97200,1.1,"*",2200,97400,2.2,"*",2400,97800,2.4,"*",1300,96600,1.3,"*"
