,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 2 April 2019],,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jul 2015-Jun 2016,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Numerator,Denominator,% who gave national identity as British,Conf,Numerator,Denominator,% who gave national identity as English,Conf,Numerator,Denominator,% who gave national identity as Irish,Conf,Numerator,Denominator,% who gave national identity as Other,Conf,Numerator,Denominator,% who gave national identity as Scottish,Conf,Numerator,Denominator,% who gave national identity as Welsh,Conf
Eastleigh,E07000086,71000,129800,54.7,5.9,82600,129800,63.7,5.7,!,129800,!,!,4100,129800,3.2,*,1400,129800,1,*,!,129800,!,!
Fareham,E07000087,77900,113900,68.5,5.9,60600,113900,53.2,6.4,!,113900,!,!,#,113900,1.1,*,!,113900,!,!,1300,113900,1.1,*
Gosport,E07000088,41700,83800,49.8,8.3,51600,83800,61.6,8,!,83800,!,!,3500,83800,4.2,*,3100,83800,3.7,*,!,83800,!,!
Hart,E07000089,49400,92200,53.5,6.8,39800,92200,43.1,6.7,!,92200,!,!,7700,92200,8.4,3.8,1700,92200,1.9,*,2100,92200,2.2,*
Havant,E07000090,70200,122200,57.4,6.2,60100,122200,49.2,6.2,!,122200,!,!,5600,122200,4.6,2.6,!,122200,!,!,#,122200,1.4,*
New Forest,E07000091,94400,176800,53.4,4.7,110900,176800,62.7,4.6,!,176800,!,!,4300,176800,2.4,1.5,2600,176800,1.4,*,2300,176800,1.3,*
Rushmoor,E07000092,36000,93700,38.4,6.8,59100,93700,63.1,6.8,!,93700,!,!,7100,93700,7.6,3.7,!,93700,!,!,!,93700,!,!
Test Valley,E07000093,55900,118700,47.1,6.2,71400,118700,60.1,6.1,!,118700,!,!,4400,118700,3.7,*,#,118700,1.3,*,3700,118700,3.1,*
Winchester,E07000094,69500,117500,59.1,6.6,73800,117500,62.9,6.5,!,117500,!,!,2800,117500,2.4,*,#,117500,1.5,*,1800,117500,1.5,*
Ashford,E07000105,72000,124900,57.6,5.7,82700,124900,66.2,5.5,!,124900,!,!,10000,124900,8,3.2,!,124900,!,!,!,124900,!,!
